Timestamp ,Object,Confidence
10/28/2025 22:27,person,
Time,Detected_Object,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
10/28/2025 22:31,person,
